names,importances,experiment_id,CO_MES,var_target
ANO,0.0,3cd24bc6-f5e4-40f1-8388-636f008aa008,02~mes,kt
ANO,0.0,3cd24bc6-f5e4-40f1-8388-636f008aa008,02~mes,oc
"('10~mes', 'Urea_spot')",0.012445935432358486,ab20e80c-fd93-4d3b-a096-d0b3294c5e42,03~mes,kt
"('09~mes', '-25:-53', 'mm')",0.05916126146276001,ab20e80c-fd93-4d3b-a096-d0b3294c5e42,03~mes,oc
"('04~mes', '081_15~geo', '3808~prdt', 'sm12')",0.017297158876317206,8c7284b4-0f4c-41c7-b58f-3793132e3ad6,04~mes,kt
"('11~mes', '-10:-50', 'mm')",0.10447761194029852,8c7284b4-0f4c-41c7-b58f-3793132e3ad6,04~mes,oc
"('11~mes', '-13:-57', 'mm')",0.07692307692307693,06898786-8d9d-4ad7-af73-effa436f17c9,05~mes,kt
"('02~mes', '-18:-44', 'mm')",0.04750712212942622,06898786-8d9d-4ad7-af73-effa436f17c9,05~mes,oc
"('06~mes', '081_10~geo', '1201~prdt', 'lag12')",0.010411700166946253,2701fa85-6aca-49e6-8250-4c57cc50bc44,06~mes,kt
"('09~mes', '-4:-46', 'mm')",0.18912033779028853,2701fa85-6aca-49e6-8250-4c57cc50bc44,06~mes,oc
"('07~mes', '-20:-42', 'mm')",0.012750731177624448,71701897-89cd-4932-9572-92bd9ae2f93a,07~mes,kt
"('06~mes', '-29:-51', 'mm')",0.04801124543384604,71701897-89cd-4932-9572-92bd9ae2f93a,07~mes,oc
ANO,0.0,939eb656-8340-4293-9b64-4a5c0e75c699,08~mes,kt
"('09~mes', '-7:-49', 'mm')",0.11,939eb656-8340-4293-9b64-4a5c0e75c699,08~mes,oc
ANO,0.0,d0e24a0c-c3a0-4862-b72e-20b3f5f3b189,09~mes,kt
"('11~mes', '-10:-50', 'mm')",0.11767648472656989,d0e24a0c-c3a0-4862-b72e-20b3f5f3b189,09~mes,oc
ANO,0.0,2b797249-5a5d-4139-bf34-60d46d6ca382,10~mes,kt
"('06~mes', '-7:-51', 'mm')",0.04791666666666667,2b797249-5a5d-4139-bf34-60d46d6ca382,10~mes,oc
ANO,0.0,6f26dc8c-6696-4db2-940e-d466c0a38bc9,11~mes,kt
"('11~mes', '081_12~geo', '5201~prdt', 'oc')",0.06,6f26dc8c-6696-4db2-940e-d466c0a38bc9,11~mes,oc
"('07~mes', '-18:-40', 'mm')",0.01909620938494523,9223df97-77d0-4c6f-98df-c6ae4ec87efb,12~mes,kt
"('04~mes', '-7:-51', 'mm')",0.05,9223df97-77d0-4c6f-98df-c6ae4ec87efb,12~mes,oc
"('01~mes', '091_14~geo', '3102~prdt', 'sm12_diff')",0.02113635129779927,7814f68a-aafd-410d-87d4-8e3eb3e09214,01~mes,kt
"('05~mes', '-8:-48', 'mm')",0.039999999999999994,7814f68a-aafd-410d-87d4-8e3eb3e09214,01~mes,oc
